,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50
met11,13003.44881,122824,1342524.076,68111.12046,53694.90136,516754,1341496.581,117697,1865799.164,3662663.757,78029,2057658.982,15573.04495,2245831.451,750787.2116,284080.5501,1335703,1549399.11,71556.84613,3311752.756,799782.2213,24332,33710.62106,734626.5835,2119281.695,50614,68907,3454596.292,308419.5486,624544.5264,1044376.454,378094,2156445.798,1269020.825,1979058.595,308670,2728534.17,4736163.771,673323,1096314.349,2296071.967,1949.343605,785846.9979,1387820.62,418202,1620146.822,2231628.661,128029,397806.1362,131748
met12,40167.83199,,4480273.372,331380.8528,4344750.116,1057602.359,1739877.483,373239.2517,5389769.303,3937413.028,1798459.833,245897.1217,72196.53358,3329264.526,190201.708,3264595.68,144609.6506,595670.9576,,5572012.203,1562136.18,1127341.202,911273.6932,1690508.745,4509118.708,447663.1715,838404.8651,4857789.895,814804.6998,2230237.807,1654603.864,113285.5936,4270216.747,1871173.96,1795099.933,1838988.81,2647910.636,3285049.439,6819348.584,2665031.031,2099022.014,1260342.598,82905.89409,1491325.717,3692754.87,2350304.64,3316745.256,8622647.696,,263878.1591
met13,427761.5858,349028.788,13749919.46,425215.3207,13643636.79,977517.6086,11187033.38,3082544.559,7824558.679,27817008.5,3813022.351,1456809.679,767497.7703,16233005.36,37131382.46,12820177.88,988385.3168,2016225.506,241684.5831,87012734,32940857.32,42223527.15,3663309.31,25675736.18,71831950.98,32211897.1,10187410.2,27413741.36,5601288.08,5757249.795,910155.5375,900162.8163,6718665.373,1661111.628,7995689.305,2592923.806,3093198.482,44107934.02,10758015.87,2944431.198,46976146.29,55594195.08,71558438.65,112442283.4,3269562.139,16705350.05,89741476.17,37099373.79,1386469.293,1207230.628
met14,258770.9167,150321.5328,674196.8352,,163223.4291,484999.0053,723468.5774,661762.558,1354441.581,1227339.759,1042590.418,367722.7654,59098.0244,640432.9477,175141.3887,682515.2205,262859.9586,122036.5572,371048.5258,1243079.669,997976.896,102393.0413,300604.5798,388038.8948,729876.0675,287641.9123,403405.1707,994897.2138,108619.3789,468813.4158,176940.9033,162916.3934,646514.7949,378682.1118,724471.6226,142056.1069,1179280.658,708378.7068,1600526.71,277305.5843,107282.4842,273173.4649,30505.76185,248065.8658,65767.73801,590566.0183,333532.6184,1134797.894,95477.68017,184846.0073
met15,65575,39603,174789,51571,44486,154489,684729,179114,1010963,748461,2663704,2084802,353830,3320944,2649818,,1966958,2757778,3264888,12540498,157646,99447,81804,26347,111901,8008570,7791259,12726225,3118278,12370858,38806,17532,107954,46023,146814,251839,924826,901702,1751192,424812,130385,142451,114929,266502,18872,8097887,1940011,4434987,215777,4967936
met16,20244.06402,,114105.462,57304.70914,193202.4992,155786.9542,269122.4541,34394.18832,396622.1767,301876.5746,2693147.791,1432326.282,1382368,1358452.739,1607169.448,914975.8475,2225223.142,320713.1691,1460701,1141573.781,4500744.369,4136736.292,5384122.604,2273266.254,2847486.556,706617.3294,1818958.367,691860.4696,306652.3232,884906.0763,246885.7439,21560.37991,305305.2616,118526.4819,103582.3516,685201.2381,229816.3253,275038.7242,426640.8712,269198.658,10388433.67,14061570.02,3999311.257,10876176.97,1772487.716,731551.0548,2062904,440670.6385,1128806.981,929927.3059
met17,1727.114558,,7922.796908,,750.2303153,110690.549,58781,9516.167311,128306,71345,24568.56676,104695,30743.59562,74017.67971,60672.06233,111891.9668,98827,10615.67196,50141.36456,82254.26084,175742.0788,44860,154019.5181,4626.017625,109834.7202,3128195.518,4450923.845,5408855.407,3051947.778,7550079.676,,,46796,1746.01005,32661.34733,157683.3235,112839.57,183812,987977.2525,472996.8562,136475,209013,34803,320009.7293,69687.11111,4075361.926,159124,3371277.249,799667.2522,2242737.167
met18,,2839,130173,,,672,656073,145096,474407,79883,995686,471814,1198,1234844,,,,,9189,157522,,185667,96622,57044,116610,191125,157267,181627,235821,623445,15620,4229,108696,111318,99249,71899,215633,167356,540584,251893,38094,13675224,66235,93644,81088,162844,3253609,253401,16191,83324
met19,6391023.839,3631268.881,17358832.15,7590273.307,7059614.052,2463349,21020308.77,22811916.34,27328405.7,38507838.59,20102383.68,4511672.996,1413182.064,35641619.05,29017446.76,35106950.8,6040832,22448267.25,12410816.05,28001810.93,2686199.762,4709657.337,6415489.164,2753962.242,12438244.81,2762330.733,3119720,5687421.304,6417942.602,10275455.58,5566650,3564901.852,25124080.34,17007699.24,33661570.43,6093534.569,22019466.59,22348050.73,22794265.6,6307263.969,11680488.67,19735635.14,650641189.2,18050585.58,3086144.088,145111428.2,17601288.61,5911284.983,1138877.583,1169821.058
met20,27029.24993,,,24203.20948,4803.669711,37813,373643.3142,48238.49308,746581.9827,98382,22554.81695,24837.3494,,198408,33302.68012,45676.43415,,3540.072456,39664.36552,132214.9751,409057.5285,81026.00124,202300.0451,113630.9534,30338.31563,836149.0733,612012.1499,1170892.604,412757.509,1523841.083,38585.59254,31218.95973,28580.58717,,43501.27228,23585.10834,94462.2025,6986.074441,372012.315,83580,789640,774144,268592,1104632,,1129457.579,132785.6053,945927.9643,328816.6733,328056.9623
